Care este caracteristica principală a deficiențelor posturale nestructurale?;Necesită tratament chirurgical;Prezintă modificări morfologice evidente;Se corectează prin autoredresare;C
Cum pot fi corectate deficiențele posturale nestructurale?;Doar prin purtarea corsetului;Prin adoptarea unor poziții precum decubit dorsal sau atârnat;Exclusiv prin intervenții chirurgicale;B
Ce se întâmplă dacă deficiențele nestructurale nu sunt tratate la timp?;Determină modificări structurale;Nu au nicio consecință;Se corectează singure;A
Ce afirmă legea lui Delpech referitor la deficiențele netratate?;Vertebra capătă formă conică și deviația se fixează;Coloana se redresează complet;Se produce o alungire a coloanei;A
Cum se numesc cifozele care apar ca urmare a deprinderii unor poziții cifozante?;Cifoze habituale;Cifoze compensatorii;Cifoze congenitale;A
Care este cauza principală a cifozei de creștere?;Luxația vertebrelor;Osteoporoza severă;Dezvoltarea insuficientă a forței mușchilor de susținere;C
Cifozele atipice afectează frecvent următoarele regiuni:;Regiunea toracică inferioară;Regiunea pelvină;Regiunea lombară sau cervicală;C
Cifoza totală apare atunci când:;Se inversează curbura lombară;Se extinde cifoza dorsală la întreaga coloană;Se micșorează spațiile intervertebrale;B
Care profesii sunt asociate cu apariția cifozei profesionale?;Ceasornicari, cismari, croitori;Farmaciști și ingineri;Atleți și înotători;A
Cifoza miopilor este un exemplu de:;Cifoză traumatică;Cifoză congenitală;Cifoză compensatorie;C
Cifozele patologice se mai numesc:;Cifoze structurale sau deformante;Cifoze funcționale;Cifoze de creștere;A
Care este o caracteristică a cifozei funcționale?;Necesită tratament chirurgical;Se corectează prin autoredresare;Este permanentă și fixă;B
Cum se manifestă cifoza traumatică după câteva luni de la accident?;Se produce o scolioză lombară;Dispare mobilitatea articulațiilor;Apare o cifoza scurtă cu tulburări motorii și senzitive;C
Care este metoda principală de diagnostic pentru cifoza traumatică?;Testul de efort;Examenul radiologic;Ecografia;B
Ce malformație vertebrală poate produce cifoza congenitală?;Vertebrele se dublează;Vertebre cuneiforme;Deplasarea mușchilor paravertebrali;B
Cum se manifestă cifoza congenitală în zona afectată?;Este fixă și nedureroasă;Este dureroasă;Se reduce prin poziții speciale;A
Cifoza infecțioasă este determinată frecvent de:;Hepatită virală;Tuberculoză vertebrală (morbul Pott);Diabet zaharat;B
Cum se manifestă de obicei cifoza tuberculoasă?;Este scurtă, fixă și unghiulară;Este flexibilă și mobilă;Dispare la adoptarea poziției în decubit dorsal;A
Cifozele reumatismale sunt cauzate de:;Infecții respiratorii;Afecțiuni inflamatorii și degenerative;Alimentație deficitară;B
Ce determină instalarea cifozei ireversibile în spondilita ankilopoietică?;Inflamația mușchilor paravertebrali;Ruperea ligamentelor intervertebrale;Osificarea ligamentelor coloanei și formarea punților;C
Cifoza senilă este consecința:;Modificărilor degenerative ale vertebrelor și articulațiilor;Sarcinii;Osteoporozei juvenile;A
Care sex este mai predispus la cifoza atipică lombară?;Bărbații;Femeile;Copiii;B
Cifozele tumorale apar ca urmare a:;Tumorilor vertebrale primitive sau secundare;Tulburărilor circulatorii;Leziunilor musculare;A
De ce trebuie programul de recuperare pentru cifozele tumorale să fie dozat cu prudență?;Datorită riscului fracturilor cu interesare medulară;Pentru a evita oboseala musculară;Pentru a preveni scolioza;A
Cifozele endocrine sunt secundare următoarei afecțiuni:;Boala Alzheimer;Osteoporoză în sindromul Cushing;Deficiență de vitamina C;B
Cum se numește cifoza severă a adolescenților cauzată de distrofie de creștere?;Cifoza Scheuermann;Cifoza rahitică;Cifoza senilă;A
Care este singura metodă de diagnostic sigur pentru cifoza Scheuermann?;Examen radiologic;Test de flexibilitate;Analize de sânge;A
Care este localizarea tipică a cifozei rahitice?;Regiunea lombară;Regiunea sacrală;Regiunea cervicală;A
Cum se modifică aspectul tegumentului la nivelul apofizelor spinoase în cifoza rahitică?;Devine aspru, gros și pigmentat;Devine subțire și neted;Prezintă ulcerații;A
Cifoza rahitică se accentuează în poziția:;Șezând;Stând în picioare;Culcat;A
În stadiul inițial al bolii, când cifoza este asimptomatică, tratamentul constă în:;Imobilizare totală în ghips;Tratament medical kinetic cu supraveghere;Intervenție chirurgicală de urgență;B
În cazul cifozei avansate, tratamentul este:;Complex, ortopedico-kinetic;Exclusiv prin fizioterapie;Doar medicamentos;A
Rolul corsetului gipsat anticifoză este de a:;Crește presiunea pe platourile vertebrale;Bloca total mobilitatea coloanei;Reduce solicitările presionale pe platourile vertebrale;C
