Care este componenta fundamentală a oricărei mișcări?;Actul motric;Activitatea motrică;Conduita motrică;A
Conduita motrică reprezintă:;Totalitatea acțiunilor fizice observabile;Latura subiectivă a comportamentului motric;Un ansamblu de exerciții sistematice;B
Care dintre următoarele NU este un concept înrudit cu motricitatea?;Situație sociomotrică;Activitate psihomotrică;Alimentație;C
Conceptul de psihomotricitate privește mișcarea:;Din perspectivă interioară, subiectivă;Doar ca produs mecanic;Exclusiv din punct de vedere medical;A
Care dintre următoarele reprezintă o caracteristică a situației sociomotrice?;Absența comunicării cu partenerii;Interacțiunea motrică esențială;Lipsa regulilor culturale;B
Etnomotricitatea reunește:;Practici motrice moderne;Practici motrice raportate la cultură și mediu social;Exclusiv jocuri sportive olimpice;B
Motricitatea ca termen provine din:;Grecescul kinesio;Latinescul movere;Latinescul motus;B
Aptitudinea motrică este:;Rezultatul direct al antrenamentului;Un substrat constitutiv preexistent al capacității motrice;Sinonim cu performanța motrică;B
Fitness-ul motor include:;Rezistența cardio-vasculară;Forta și mobilitatea;Coordonarea, echilibrul și timpul de reacție;C
Performanța motrică exprimă:;Un rezultat supramediu, conform unor norme sau baremuri;Doar o caracteristică fizică generală;Nivelul maxim de teorie sportivă;A
