Care este poziția fundamentală specifică omului?;Poziția așezat;Poziția stând;Poziția pe genunchi;B
În poziția stând, centrul principal de greutate este situat:;Mai jos, proiectându-se spre partea posterioară a bazei de susținere;Foarte jos, în apropierea solului;Centrul de greutate e cel mai inalt si se proiecteaza in mijlocul bazei de sustinere usor anterior;C
Poziția stând este considerată:;Poziția cea mai odihnitoare;Cea mai instabilă poziție fundamentală;Poziția cu consum energetic scazut;C
Poziția stând favorizează:;Blocarea genunchilor;Mișcările ample, izotonice ale membrelor superioare;Rigidizarea completă a trunchiului;B
Poziția așezat se caracterizează prin:;Centru de greutate înalt și instabilitate;Imposibilitatea mobilizării trunchiului;Bază mare de susținere și centru de greutate situat jos;C
Un avantaj al poziției așezat este:;Stabilitatea mai bună spre anterior;Rigiditatea completă a membrelor inferioare;Instabilitatea crescută;A
Poziția pe genunchi are ca particularitate:;Centrul de greutate în poziția cea mai înaltă și cea mai mică bază de susținere;Cea mai mare bază de susținere;Centrul de greutate se proiecteaza direct pe suprafata de sprijin;C
Poziția pe genunchi solicită:;Exclusiv brațele;Musculatura posturală și reflexele aferente;Doar membrele inferioare;B
Poziția pe genunchi favorizează:;Trunchiul inferior si pelvisul se pot mobiliza cu usurinta;Mișcările ample ale membrelor superioare și contracția izometrică a musculaturii membrelor inferioare;Contractura mușchilor abdominali;A
Poziția culcat dorsal are ca puncte de sprijin:;Regiunea occipitală, partea dorso-superioară a trunchiului, regiunea fesieră și călcâiele;Doar partea dorsală a trunchiului;Umeri, șolduri și coapse;A
Poziția culcat dorsal se caracterizează prin:;O poziție extrem de solicitantă;Cea mai instabilă poziție;Cea mai odihnitoare și stabilă poziție;C
Menținerea prelungită a poziției culcat dorsal poate avea ca efect:;Îmbunătățirea forței musculare;Efecte osteoporozante generale;Întărirea articulațiilor;B
Poziția atârnat se caracterizează prin:;Relaxarea completă a trunchiului;Centrul de greutate sub suprafața de sprijin, impunând un efort mare;Un centru de greutate înalt și o stabilitate crescută;B
În poziția atârnat, membrele inferioare:;Sunt sprijinite pe vârfuri;Sunt complet flectate;Sunt apropiate și extinse, nu ating solul;C
Poziția atârnat menține:;Trunchiul flexat și umerii coborâți;Membrele superioare complet relaxate;Coastele ridicate și trunchiul ușor extins;C
Pentru bolnavii pulmonari și cardiovasculari, poziția atârnat este:;Contraindicată;Recomandată în recuperare;Neutru, fără efecte;A
O derivată a poziției stând prin modificarea bazei de sprijin este:;Pe genunchi cu trunchiul flectat;Stând cu picioarele suspendate;Stând pe vârfuri sau pe marginea internă a piciorului;C
Stând cu trunchiul înclinat anterior până la 30° reprezintă:;O poziție fundamentală;O poziție derivată prin modificarea poziției trunchiului;O poziție de relaxare;B
O derivată a poziției stând prin modificarea membrelor superioare este:;Membrele superioare complet flectate și lipite de trunchi;Membrele superioare pe lângă corp;Membrele superioare abducție laterală sau anterioră, cu coatele extinse;C
În poziția derivată stând depărtat:;Baza de susținere este mică;Centru de greutate este situat foarte sus;Baza de susținere este mare, iar centrul de greutate foarte aproape de suprafața de sprijin;C
În poziția derivată așezat pe marginea mesei de reeducare:;Suprafața de sprijin este redusă;Trunchiul se sprijină complet pe spătar;Se menține stabilitatea trunchiului;A
O particularitate a poziției hemi-așezat (pe o fesă) este:;Rigidizarea completă a trunchiului;Sprijin pe ambele picioare;Sprijin asimetric al bazinului;C
În poziția așezat pe podea, cu coapsele și genunchii flectați:;Se realizează o poziție complet instabilă;Se obține o postură de extensie;Membrele inferioare formează o bază de sprijin joasă și stabilă;C
O derivată a poziției așezat prin modificarea trunchiului este:;Ridicarea trunchiului pe vârfuri;Trunchiul complet extins în spate;Trunchiul flectat peste coapse sau între coapse;C
În poziția așezat cu trunchiul și capul în extensie:;Se corectează postura trunchiului;Se limitează mișcările trunchiului;Se relaxează complet musculatura spatelui;A
Un exemplu de modificare a poziției membrelor superioare în poziția așezat este:;Membrele superioare pe lângă corp;Sprijin exclusiv pe spate;Membrele superioare cu coatele extinse, abducție laterală sau anterioră;C
În poziția așezat, o modificare complexă este:;Pe marginea mesei cu trunchiul extins;Pe genunchi cu sprijin pe palme, trunchiul deasupra orizontalei, capul flectat, sprijin homolateral sau controlateral;Așezat pe un scaun cu spătar înalt;B
În patrupedie, poziția se caracterizează prin:;Blocarea completă a mobilității;Centru de greutate înalt și instabilitate;Suprafață mare de sprijin și centru de greutate mediu;C
Un avantaj al patrupediei este:;Rigidizarea trunchiului;Eliberarea coloanei și facilitarea mobilizării;Limitarea mișcărilor membrelor inferioare;B
În patrupedie cu sprijin pe coate sau antebrațe:;Se accentuează instabilitatea;Se produce tensionarea excesivă a umerilor;Se păstrează o stabilitate relativă și se eliberează coloana;C
Poziția pe genunchi cu trunchiul și capul înclinate lateral reprezintă:;O postură de relaxare completă;O derivată cu modificarea poziției trunchiului și capului;O poziție fundamentală;B
În decubit lateral, stabilitatea este asigurată prin:;Bază mare de susținere și centru de greutate jos;Ridicarea trunchiului;Reducerea punctelor de sprijin;A
Decubit lateral este utilizat frecvent pentru:;Reeducarea neuromotorie a marilor disabilități;Blocarea completă a trunchiului;Relaxare musculară superficială;A
