Deficiențele coloanei vertebrale în plan sagital sunt:;cifoze, lordoze și combinații ale acestora;cifoze și scolioze;doar lordoze;A
Cifozele sunt:;încurbări exagerate ale coloanei vertebrale în plan sagital;devierea laterală a coloanei;rotirea coloanei;A
Cifoza funcțională nu prezintă:;modificări morfologice decelabile prin examen radiologic;modificări de postură;asimetrie a umerilor;A
Cifoza funcțională se corectează:;prin autoredresare sau adoptarea unor poziții;exclusiv chirurgical;doar prin imobilizare;A
Cifoza funcțională netratată determină:;modificări structurale;ameliorare spontană;blocarea definitivă a articulațiilor;A
Cifoza patologică poate fi:;fiziologică, congenitală, infecțioasă, posttraumatică;doar congenitală;exclusiv traumatică;A
Lordoza reprezintă:;accentuarea curburii normale a coloanei în regiunea cervicală sau lombară;devierea laterală a coloanei;rotirea coloanei;A
Lordoza poate fi:;funcțională sau patologică;doar congenitală;exclusiv traumatică;A
Lordoza patologică este:;irreductibilă prin autoredresare;ușor corectabilă;exclusiv funcțională;A
Lordoza funcțională este:;reductibilă prin autoredresare;irreductibilă;neinfluențabilă;A
Cifolordoza este:;o deformare mixtă în plan sagital;devierea laterală a coloanei;exclusiv o curbură lombară;A
Tratamentul deficiențelor în plan sagital include:;kinetoterapie, corectarea posturii, educație posturală;doar medicație;exclusiv tratament ortopedic;A
În cazurile ușoare de cifoză se recomandă:;educație posturală și exerciții corective;corset imediat;intervenție chirurgicală;A
Tratamentul chirurgical se aplică:;în cazurile grave, cu unghi mare de curbură și afectare funcțională;în toate cazurile de cifoză;în cazurile cu evoluție favorabilă;A
Exercițiile cu rezistență pot utiliza:;greutăți, benzi elastice, arcuri, apa, forța pacientului;doar aparate electrice;exclusiv greutăți fixe;A
Creșterea rezistenței musculare se obține prin:;utilizarea acelorași tipuri de rezistență;schimbarea constantă a rezistenței;evitarea utilizării rezistenței;A
Exercițiile recomandate într-un program trebuie să antreneze:;același segment din poziții diferite;doar membrele inferioare;exclusiv trunchiul;A
Exercițiul maximal scurt (EMS) reprezintă:;un exercițiu cu intensitate maximă de scurtă durată;un exercițiu cu repetări multiple;un exercițiu de relaxare;A
Tehnica De Lorme Watkins constă în:;exerciții rezistive progresive;exerciții pasive;exerciții de stretching;A
Tehnica Oxford constă în:;exerciții rezistive regresive;exerciții aerobice;exerciții izometrice;A
Cea mai eficientă tehnică de progresie este:;tehnica DAPRE;tehnica EMS;tehnica Oxford;A
Tehnica DAPRE permite:;adaptarea zilnică a rezistenței și vitezei de execuție;menținerea aceleiași intensități;exerciții doar pasive;A
Exercițiile de tip DAPRE pot antrena:;forța aerobică și anaerobă;doar forța anaerobă;exclusiv mobilitatea;A
Învățarea motrică este:;un set de procese asociate exersării și experienței;un proces teoretic;un reflex înnăscut;A
Învățarea motrică conduce la:;schimbări relativ permanente în comportamentul motric;modificări temporare;scăderea masei musculare;A
Învățarea motrică determină:;modificări la nivel celular în sistemul nervos;modificarea structurii osoase;atrofierea musculaturii;A
Învățarea motrică se produce ca rezultat direct al:;exersării și al experienței;odihnei prelungite;evitării activității fizice;A
Învățarea motrică determină:;modificări la nivelul altor structuri care nu pot fi examinate cu ochiul liber;creșterea automată a masei musculare;rigidizarea articulațiilor;A
Învățarea motrică implică:;îmbogățirea circuitelor neuromotorii;reducerea numărului de conexiuni nervoase;atrofierea sistemului muscular;A
Dobândirea unei deprinderi motrice eficiente este posibilă prin:;exersare și experiență;evitarea antrenamentului;odihnă pasivă prelungită;A
