Care este unul dintre factorii limitatori ai mobilității?;Deficitul vascular;Slăbiciunea musculară;Inflamația;C
Ce tip de posturi sunt recomandate în recuperare?;Posturi corective;Posturi de relaxare;Posturi pasive;A
Ce tehnică se utilizează pentru antrenarea segmentului controlateral?;Izometrie globală;Reflexe de simetrie;Antrenament unilateral;B
Care dintre următoarele reprezintă o mobilizare activă cu rezistență excentrică?;MPA;MAP;MAR E;C
Ce efect are flexia capului asupra musculaturii?;Crește tonusul extensorilor membrelor inferioare;Scade tonusul lombar;Crește tonusul flexorilor membrelor superioare;C
Ce metodă implică mobilizări din suspendare axială?;Scripetoterapia;Springterapia;Suspensoterapia;C
Ce principiu se aplică în recuperarea mobilității articulare?;Limitării mișcării;Precocității;Relaxării profunde;B
Ce tip de masaj contribuie la îmbunătățirea mobilității?;Masaj transversal profund (Cyriax);Masaj superficial;Masaj rapid;A
Ce implică stretching-ul izometric sportiv?;Contractie izometrică urmată de relaxare și întindere;Exerciții cu mingea medicinală;Mișcare pasivă continuă;A
Ce reprezintă metoda power-training?;Trei grupe de exerciții: cu greutăți, cu mingi medicinale și exerciții acrobatice;Doar exerciții cu benzi elastice;Exerciții exclusive de stretching;A
Ce se utilizează în antrenamentul pliometric?;Mișcări de viteză maximă cu încărcare progresivă;Mișcări lente cu relaxare;Mobilizări pasive;A
Ce efect are masajul asupra mobilității?;Slăbește structura musculară;Ameliorează elasticitatea musculo-ligamentară;Încetinește circulația;B
Ce presupune metoda eforturilor în circuit?;Exerciții variate cu sarcini crescătoare;Doar exerciții statice;Exerciții pasive fără sarcină;A
Ce efect au exercițiile izometrice scurte zilnice (EUSIZ)?;Scăderea mobilității;Dezvoltarea forței musculare și stabilității;Reducerea forței musculare;B
Ce tehnică FNP generală presupune relaxare-opunere?;Inversare lentă cu opunere (LO);Contractii repetate;Stretching pasiv;A
Ce implică contractia izometrică în zonă scurtată (CIS)?;Mișcare pasivă a segmentului;Menținerea segmentului la amplitudine maximă;Relaxare totală;B
Cum se poate mări solicitarea musculară în recuperare?;Prin evitarea contracțiilor;Prin reducerea amplitudinii;Prin suprasarcină și atingerea oboselii;C
Ce reprezintă exercițiile izokinetice?;Exerciții cu viteză constantă;Mobilizări pasive;Exerciții cu relaxare profundă;A
Ce tipuri de rezistențe se pot utiliza în recuperare?;Doar benzi elastice;Greutăți, benzi elastice, arcuri;Doar greutatea proprie;B
Ce presupune metoda DAPRE?;Exerciții pasive fără sarcină;Antrenament cu greutăți fixe;Adaptarea zilnică a rezistenței pentru antrenament;C
Ce tehnici FNP specifice se pot utiliza?;Doar mobilizări pasive;Contractie izometrică în zonă scurtată, izometrie alternantă, stabilizare ritmică;Doar stretching pasiv;B
